Material,Publications,Space Group,Calculated Band Gap,superconduct,conduct,resist,metal,insulator,doped,ferromagnetism,antiferromagnetism,ferrimagnetism,magnet,\d K,DFT,DMFT,charge density wave,band structure,susceptibility,NMR,nuclear magnetic resonance,neutron,mu-SR,x-ray
"=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A1"",""BaVSe3"")",9,"{u'symbol': u'P6_3/mmc', u'number': 194, u'point_group': u'6/mmm', u'source': u'spglib', u'crystal_system': u'hexagonal', u'hall': u'-P 6c 2c'}",0.0,"=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A3"",""6"")","=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A4"",""1"")","=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A5"",""1"")",,"=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A6"",""1"")",,,"=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A7"",""6"")",,"=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A8"",""3"")",,,,,"=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A9"",""2"")","=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A10"",""1"")","=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A11"",""1"")","=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A12"",""4"")",,"=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A13"",""2"")",
"=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A16"",""BaVSe3"")",9,"{u'symbol': u'P6_3/mmc', u'number': 194, u'point_group': u'6/mmm', u'source': u'spglib', u'crystal_system': u'hexagonal', u'hall': u'-P 6c 2c'}",0.0,"=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A18"",""6"")","=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A19"",""1"")","=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A20"",""1"")",,"=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A21"",""1"")",,,"=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A22"",""6"")",,"=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A23"",""3"")",,,,,"=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A24"",""2"")","=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A25"",""1"")","=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A26"",""1"")","=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A27"",""4"")",,"=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A28"",""2"")",
"=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A31"",""BaFe2Se3"")",20,"{u'symbol': u'Pmcn', u'number': 62, u'point_group': u'mmm', u'source': u'spglib', u'crystal_system': u'orthorhombic', u'hall': u'-P 2n 2a'}",0.0,"=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A33"",""16"")","=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A34"",""1"")","=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A35"",""2"")","=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A36"",""3"")","=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A37"",""1"")",,,,,"=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A38"",""3"")",,,"=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A39"",""1"")","=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A40"",""9"")",,"=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A41"",""11"")",,"=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A42"",""12"")",,"=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A43"",""4"")","=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A44"",""9"")"
"=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A47"",""Ba3Fe3Se7"")",0,"{u'symbol': u'P6_3mc', u'number': 186, u'point_group': u'6mm', u'source': u'spglib', u'crystal_system': u'hexagonal', u'hall': u'P 6c -2c'}",0,,,,,,,,,,,,,,,,,,,,,
"=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A51"",""K3FeSe3"")",2,"{u'symbol': u'P2_1/c', u'number': 14, u'point_group': u'2/m', u'source': u'spglib', u'crystal_system': u'monoclinic', u'hall': u'-P 2yn'}",0.0,"=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A53"",""1"")",,,,,,,,,,,,,"=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A54"",""1"")",,,,,,,
"=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A57"",""KFeSe2"")",2,"{u'symbol': u'C2/c', u'number': 15, u'point_group': u'2/m', u'source': u'spglib', u'crystal_system': u'monoclinic', u'hall': u'-C 2yc'}",0.0,"=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A59"",""1"")",,,,,,,"=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A60"",""1"")",,"=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A61"",""1"")",,,,,,"=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A62"",""1"")",,"=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A63"",""1"")",,"=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A64"",""1"")",
"=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A67"",""K2CoSe2"")",0,"{u'symbol': u'Imcb', u'number': 72, u'point_group': u'mmm', u'source': u'spglib', u'crystal_system': u'orthorhombic', u'hall': u'-I 2a 2'}",0.0,,,,,,,,,,,,,,,,,,,,,
"=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A71"",""KCu4Se3"")",2,"{u'symbol': u'P4/mmm', u'number': 123, u'point_group': u'4/mmm', u'source': u'spglib', u'crystal_system': u'tetragonal', u'hall': u'-P 4 2'}",0.0768,,,,,,,,"=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A73"",""1"")",,"=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A74"",""1"")",,,,,,,,"=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A75"",""1"")",,,
"=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A78"",""KCuSe"")",0,"{u'symbol': u'P6_3/mmc', u'number': 194, u'point_group': u'6/mmm', u'source': u'spglib', u'crystal_system': u'hexagonal', u'hall': u'-P 6c 2c'}",0.1782,,,,,,,,,,,,,,,,,,,,,
"=HYPERLINK(""[C:\users\eager55\desktop\webscrape\searchwok\materialsSearchCSV-WC\search1Full.csv]search1Full!A82"",""K9Fe2Se7"")",0,"{u'symbol': u'P2_13', u'number': 198, u'point_group': u'23', u'source': u'spglib', u'crystal_system': u'cubic', u'hall': u'P 2ac 2ab 3'}",0.3782,,,,,,,,,,,,,,,,,,,,,
