16721	R -3 H	Cr2 S3	Cr2S3(hR10)	The structures of the chromium sulphides	Jellinek, F.	Acta Crystallographica (1,1948-23,1967) (1957) 10,  p620-p628
26312	R -3 H	Ni Ti3 S6	Cr2S3(hR10)	No. 486. - Le systeme nickel-disulfure de titane	Danot, M.;  Bichon, J.;  Rouxel, J.	Bulletin de la Societe Chimique de France (Vol=Year) (1972) 1972,  p3063-p3066
35142	R -3 H	Ni V3 S6	Cr2S3(hR10)	Ternary vanadium sulfides	Murugesan, T.;  Ramesh, S.;  Gopalakrishnan, J.;  Rao, C.N.R.	Journal of Solid State Chemistry (1982) 44,  p119-p125
73979	R -3 R	Ba2 (Ba0.18 Bi0.82) Bi O6	Cr2S3(hR10)	A powder neutron diffraction investigation of structure and cation ordering in Ba2+x Bi2-x O6-y	Reis, K.P.;  Jacobson, A.J.;  Nicol, J.M.	Journal of Solid State Chemistry (1993) 107,  p428-p443
73980	R -3 R	Ba2 (Ba0.28 Bi0.72) Bi O6	Cr2S3(hR10)	A powder neutron diffraction investigation of structure and cation ordering in Ba2+x Bi2-x O6-y	Reis, K.P.;  Jacobson, A.J.;  Nicol, J.M.	Journal of Solid State Chemistry (1993) 107,  p428-p443
78723	R -3 H	Li0.9 Ru O3	Cr2S3(hR10)	Structure and lithium deintercalation of Li2-x Ru O3	Kobayashi, H.;  Kanno, R.;  Kawamoto, Y.;  Tabuchi, M.;  Nakamura, O.;  Tanako, M.	Solid State Ionics (1995) 82,  p25-p31
80902	R -3 R	Ba2 Yb Bi O6	Cr2S3(hR10)	Syntheses, structures, and magnetism of barium/rare-earth/bismuth double perovskites. Crystal structures of Ba2 M Bi O6 (M= Ce, Pr, Nd, Tb, Yb) by powder neutron diffraction	Harrison, W.T.A.;  Reis, K.P.;  Jacobson, A.J.;  Schneemeyer, L.F.;  Waszczak, J.V.	Chemistry of Materials (1995) 7,  p2161-p2167
84822	R -3 R	Ba2 (Ba0.414 U0.554) U O6	Cr2S3(hR10)	Structural and thermodynamic characterization of the perovskite-related Ba1+y U O3+x and (Ba, Sr)1+y U O3+x phases	Cordfunke, E.H.P.;  Booij, A.S.;  Smit-Groen, V.;  van Vlaanderen, P.	Journal of Solid State Chemistry (1997) 131,  p341-p349
201765	R -3 R	La (Co O3)	Cr2S3(hR10)	A neutron diffraction study of La Co O3 in the temperature range 4.2 &lt; T &lt;1248K	Thornton, G.;  Tofield, B.C.;  Hewat, A.W.	Journal of Solid State Chemistry (1986) 61,  p301-p307
42705	R -3 H	Cr2 Se3	Cr2S3(hR10)	Preparation, structure, and properties of some chromium selenides. Crystal growth with selenium vaporas a novel transport element	Wehmeier, F.H.;  Keve, E.T.;  Abrahams, S.C.	Inorganic Chemistry (1970) 9,  p2125-p2131
53204	R -3 H	Cr1.89 S3	Cr2S3(hR10)	Spin structure and magnetic anisotropy of Cr5 S6 and rhombohedral Cr2 S3	Popma, T.J.A.;  Haas, C.;  van Laar, B.	Journal of Physics and Chemistry of Solids (1971) 32,  p581-p590
53205	R -3 H	Cr1.89 S3	Cr2S3(hR10)	Spin structure and magnetic anisotropy of Cr5 S6 and rhombohedral Cr2 S3	Popma, T.J.A.;  Haas, C.;  van Laar, B.	Journal of Physics and Chemistry of Solids (1971) 32,  p581-p590
53238	R -3 H	Cr1.89 S3	Cr2S3(hR10)	Spin structure and magnetic anisotropy of Cr5 S6 and rhombohedral Cr2 S3	Popma, T.J.A.;  Haas, C.;  van Laar, B.	Journal of Physics and Chemistry of Solids (1971) 32,  p581-p590
89965	R -3 H	(V0.133 Cr0.189) (V0.203 Cr0.797) S2	Cr2S3(hR10)	Structures and properties of new ordered defect phases in the vanadium chromium sulfide system	Vaqueiro, P.;  Powell, A.V.	Chemistry of Materials (2000) 12,  p2705-p2714
92178	R -3 R	Ba Bi0.5 Sb0.5 O3	Cr2S3(hR10)	A neutron powder diffraction study on Ba Bi0.5 Sb0.5 O3	Fu, W.T.	Solid State Communications (2000) 116,  p461-p464
97963	R -3 R	Sr La Cu Ru O6	Cr2S3(hR10)	Crystal structures and phase transitions of the double perovskite oxides Sr La Cu Ru O6 and Sr La Ni Ru O6	Gateshki, M.;  Igartua, J.M.	Materials Research Bulletin (2003) 38,  p1893-p1900
97965	R -3 R	Sr La Cu Ru O6	Cr2S3(hR10)	Crystal structures and phase transitions of the double perovskite oxides Sr La Cu Ru O6 and Sr La Ni Ru O6	Gateshki, M.;  Igartua, J.M.	Materials Research Bulletin (2003) 38,  p1893-p1900
98241	R -3 R	La2 (Ni Mn O6)	Cr2S3(hR10)	Determination of B-site ordering and structural transformations in the mixed transition metal perovskites La2 Co Mn O6 and La2 Ni Mn O6	Bull, C.L.;  Gleeson, D.;  Knight, K.S.	Journal of Physics: Condensed Matter (2003) 15,  p4927-p4936
98242	R -3 R	La2 (Co Mn O6)	Cr2S3(hR10)	Determination of B-site ordering and structural transformations in the mixed transition metal perovskites La2 Co Mn O6 and La2 Ni Mn O6	Bull, C.L.;  Gleeson, D.;  Knight, K.S.	Journal of Physics: Condensed Matter (2003) 15,  p4927-p4936
106520	R -3 H	Cr2 Se3	Cr2S3(hR10)	Magnetic structure of rhombohedral Cr2 Se3	Adachi, Y.;  Ohashi, M.;  Kaneko, T.;  Yuzuri, M.;  Yamaguchi, Y.;  Funahashi, S.;  Morii, Y.	Journal of the Physical Society of Japan (1994) 63,  p1548-p1559
