6066	P 3 m 1	Cd I2	CdI2(hP18)	Crystal structures of three Cd I2 polytypes	Chadha, G.K.	Zeitschrift fuer Kristallographie, Kristallgeometrie, Kristallphysik, Kristallchemie (-144,1977) (1974) 139,  p147-p152
9024	P 3 m 1	Cd I2	CdI2(hP21)	Crystal structures of three Cd I2 polytypes	Chadha, G.K.	Zeitschrift fuer Kristallographie, Kristallgeometrie, Kristallphysik, Kristallchemie (-144,1977) (1974) 139,  p147-p152
9025	P 3 m 1	Cd I2	CdI2(hP24)	Crystal structures of three Cd I2 polytypes	Chadha, G.K.	Zeitschrift fuer Kristallographie, Kristallgeometrie, Kristallphysik, Kristallchemie (-144,1977) (1974) 139,  p147-p152
9190	P 3 m 1	Cd I2	CdI2(hP12)	Crystal structures of six new polytypes of cadmium iodide	Gulzari, L.;  Chadha, G.K.;  Trigunayat, G.C.	Acta Crystallographica B (24,1968-38,1982) (1971) 27,  p2293-p2298
9191	P 3 m 1	Cd I2	CdI2(hP21)	Crystal structures of six new polytypes of cadmium iodide	Gulzari, L.;  Chadha, G.K.;  Trigunayat, G.C.	Acta Crystallographica B (24,1968-38,1982) (1971) 27,  p2293-p2298
9192	P 3 m 1	Cd I2	CdI2(hP24)	Crystal structures of six new polytypes of cadmium iodide	Gulzari, L.;  Chadha, G.K.;  Trigunayat, G.C.	Acta Crystallographica B (24,1968-38,1982) (1971) 27,  p2293-p2298
9193	P 3 m 1	Cd I2	CdI2(hP24)	Crystal structures of six new polytypes of cadmium iodide	Gulzari, L.;  Chadha, G.K.;  Trigunayat, G.C.	Acta Crystallographica B (24,1968-38,1982) (1971) 27,  p2293-p2298
9194	P 3 m 1	Cd I2	CdI2(hP24)	Crystal structures of six new polytypes of cadmium iodide	Gulzari, L.;  Chadha, G.K.;  Trigunayat, G.C.	Acta Crystallographica B (24,1968-38,1982) (1971) 27,  p2293-p2298
9195	P 3 m 1	Cd I2	CdI2(hP30)	Crystal structures of six new polytypes of cadmium iodide	Gulzari, L.;  Chadha, G.K.;  Trigunayat, G.C.	Acta Crystallographica B (24,1968-38,1982) (1971) 27,  p2293-p2298
9340	R 3 m H	Cd I2	CdI2(hR18)	Crystal structure of a Cd I2 polytype 36R	Agrawal, V.K.;  Chadha, G.K.	Zeitschrift fuer Kristallographie, Kristallgeometrie, Kristallphysik, Kristallchemie (-144,1977) (1973) 137,  p179-p183
15381	P 3 m 1	Cd I2	CdI2(hP27)	Structure of an eighteen-layered polytype of cadmium iodide	Gulzari, L.;  Chadha, G.K.;  Trigunayat, G.C.	Zeitschrift fuer Kristallographie, Kristallgeometrie, Kristallphysik, Kristallchemie (-144,1977) (1971) 134,  p91-p96
15543	P -3 m 1	Ti Te2	CdI2	Etude comparative des composes Ti X2 (X= S, Se, Te). Structures de Ti Te2 et Ti Se Te	Arnaud, Y.;  Chevreton, M.	Journal of Solid State Chemistry (1981) 39,  p230-p239
15544	P -3 m 1	Ti Se Te	CdI2	Etude comparative des composes Ti X2 (X= S, Se, Te). Structures de Ti Te2 et Ti Se Te	Arnaud, Y.;  Chevreton, M.	Journal of Solid State Chemistry (1981) 39,  p230-p239
15901	P -3 m 1	V Cl2	CdI2	Note on the crystal structure of vanadium dichloride	Villadsen, J.	Acta Chemica Scandinavica (1-27,1973-42,1988) (1959) 13,  p2146-p2146
17063	P -3 m 1	Mg Cl2	CdI2	A new layer structure of Mg Cl2 with hexagonal close packing of the chlorine atoms	Bassi, I.W.;  Polato, F.;  Calcaterra, M.;  Bart, J.C.J.	Zeitschrift fuer Kristallographie (1979-2010) (1982) 159,  p297-p302
