1981	P m m n S	V O Cl	FeOCl	Vanadium oxychloride	Haase, A.;  Brauer, G.	Acta Crystallographica B (24,1968-38,1982) (1975) 31,  p2521-p2522
4086	P m m n Z	Cr O Cl	FeOCl	Preparation and magnetic properties of Cr O Cl	Christensen, A.N.;  Johansson, T.;  Quezel, S.	Acta Chemica Scandinavica, Series A: (28,1974-) (1975) 28,  p1171-p1174
6082	P m m n Z	Lu S Br	FeOCl	Structure cristalline de Lu S Br	Collin, G.;  Dagron, C.;  Thevet, F.	Bulletin de la Societe Chimique de France (Vol=Year) (1974) 1974,  p418-p420
10419	P m m n Z	Ti O Br	FeOCl	Ti O Br: Darstellung, Eigenschaften und Struktur	von Schnering, H.G.;  Collin, M.;  Hassheider, M.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1972) 387,  p137-p141
16013	P m n m Z	Fe O Cl	FeOCl	Refinement of the crystal structure of iron oxychloride	Lind, M.D.	Acta Crystallographica B (24,1968-38,1982) (1970) 26,  p1058-p1062
21009	P m m n Z	Er S Cl	FeOCl	Structure cristalline de chlorosulfure d&#39;erbium Er S Cl	Sfez, A.;  Adolphe, C.	Bulletin de la Societe Francaise de Mineralogie et de Cristallographie (72,1949-100,1977) (1973) 96,  p37-p40
24058	P m m n Z	In O Cl	FeOCl	The Crystal Structure of Indium Oxide Chloride and Indium Oxide Bromide	Forsberg, H.E.	Acta Chemica Scandinavica (1-27,1973-42,1988) (1956) 10,  p1287-p1297
24059	P m m n Z	In O Br	FeOCl	The Crystal Structure of Indium Oxide Chloride and Indium Oxide Bromide	Forsberg, H.E.	Acta Chemica Scandinavica (1-27,1973-42,1988) (1956) 10,  p1287-p1297
25657	P m m n S	Ti O Cl	FeOCl	Titan(III)-oxychlorid	Schaefer, H.;  Wartenpfuhl, F.;  Weise, E.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1958) 295,  p268-p280
27010	P m m n Z	V O Br	FeOCl	Sur le systeme V(III)-O-X (X= Cl, Br, I): Preparation de monocristaux et structure de V O Br	Levayer, C.;  Rouxel, J.	Comptes Rendus Hebdomadaires des Seances de l&#39;Academie des Sciences, Serie C, Sciences Chimiques (1966-) (1969) 268,  p167-p170
27011	P m m n Z	V O Cl	FeOCl	Sur le systeme V(III)-O-X (X= Cl, Br, I): Preparation de monocristaux et structure de V O Br	Levayer, C.;  Rouxel, J.	Comptes Rendus Hebdomadaires des Seances de l&#39;Academie des Sciences, Serie C, Sciences Chimiques (1966-) (1969) 268,  p167-p170
27092	P m m n Z	Cr O Br	FeOCl	Preparation et reseau cristallin de l&#39;oxybromure Cr O Br	Danot, M.;  Rouxel, J.	Comptes Rendus Hebdomadaires des Seances de l&#39;Academie des Sciences, Serie C, Sciences Chimiques (1966-) (1966) 262,  p1879-p1881
27136	P m n m S	Fe O Cl	FeOCl	Structure cristalline de l&#39;oxychlorure de fer.	Goldsztaub, M.S.	Comptes Rendus Hebdomadaires des Seances de l&#39;Academie des Sciences (1884 - 1965) (1934) 198,  p667-p669
27392	P m m n S	Zr N I	FeOCl	Ueber Nitridhalogenide des Titans und Zirkons	Juza, R.;  Heners, J.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1964) 332,  p159-p172
27393	P m m n S	Zr N Br	FeOCl	Ueber Nitridhalogenide des Titans und Zirkons	Juza, R.;  Heners, J.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1964) 332,  p159-p172
27394	P m m n S	Ti N I	FeOCl	Ueber Nitridhalogenide des Titans und Zirkons	Juza, R.;  Heners, J.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1964) 332,  p159-p172
27395	P m m n S	Ti N Br	FeOCl	Ueber Nitridhalogenide des Titans und Zirkons	Juza, R.;  Heners, J.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1964) 332,  p159-p172
27396	P m m n S	Ti N Cl	FeOCl	Ueber Nitridhalogenide des Titans und Zirkons	Juza, R.;  Heners, J.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1964) 332,  p159-p172
27812	P m n m S	Al O Cl	FeOCl	Reseau cristallin de l&#39;oxychlorure d&#39;aluminium.	Rouxel, J.	Comptes Rendus Hebdomadaires des Seances de l&#39;Academie des Sciences (1884 - 1965) (1959) 248,  p810-p812
28318	P m m n Z	Cr O Cl	FeOCl	On the Structure of Cr O Cl	Forsberg, H.E.	Acta Chemica Scandinavica (1-27,1973-42,1988) (1962) 16,  p777-p778
36119	P m m n S	Zr N I	FeOCl	Die Kristallstruktur des Zirkonnitridjodids	Juza, R.;  Klose, W.	Angewandte Chemie (German Edition) (1959) 71,  p161-p161
39314	P m m n Z	Ti O Cl	FeOCl	Refinement of Ti O Cl crystal structure	Snigireva, E.M.;  Troyanov, S.I.;  Rybakov, V.B.	Zhurnal Neorganicheskoi Khimii (1990) 35,  p1945-p1946
50194	P m m n Z	Er Se I	FeOCl	Die Kristallstruktur von Er Se I und Na Er Se2	Stoewe, K.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1997) 623,  p1639-p1643
69659	P m m n Z	Cr S Br	FeOCl	Ueber Chalkogenidhalogenide des Chroms: Synthese, Kristallstruktur und Magnetismus von Chromsulfidbromid, CrSBr	Beck, J.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1990) 585,  p157-p167
69660	P m m n Z	Cr S Br	FeOCl	Ueber Chalkogenidhalogenide des Chroms: Synthese, Kristallstruktur und Magnetismus von Chromsulfidbromid, CrSBr	Beck, J.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1990) 585,  p157-p167
69661	P m m n Z	Cr S Br	FeOCl	Ueber Chalkogenidhalogenide des Chroms: Synthese, Kristallstruktur und Magnetismus von Chromsulfidbromid, CrSBr	Beck, J.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1990) 585,  p157-p167
75055	P m m n Z	Pr Mn Si	FeOCl	High rare earth sublattice ordering temperatures in R Mn Si compounds(R= La-Sm, Gd) studied by susceptibility measurements and neutron diffraction	Welter, R.;  Venturini, G.;  Malaman, B.	Journal of Alloys and Compounds (1994) 206,  p55-p71
75059	P m m n Z	Nd Mn Si	FeOCl	High rare earth sublattice ordering temperatures in R Mn Si compounds(R= La-Sm, Gd) studied by susceptibility measurements and neutron diffraction	Welter, R.;  Venturini, G.;  Malaman, B.	Journal of Alloys and Compounds (1994) 206,  p55-p71
79106	P m m n Z	Dy S Br	FeOCl	Dy S Br und Dy S I - Synthese, Kristallstruktur und Magnetismus	Kleeff, G.;  Schilder, H.;  Lueken, H.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1995) 621,  p963-p968
79107	P m m n Z	Dy S I	FeOCl	Dy S Br und Dy S I - Synthese, Kristallstruktur und Magnetismus	Kleeff, G.;  Schilder, H.;  Lueken, H.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1995) 621,  p963-p968
80013	P m m n Z	Pr Mn Ge	FeOCl	Crystallographic data and magnetic properties of new Ce Fe Si - type R Mn Ge compounds (R= La-Sm) studied by magnetization and neutron diffraction measurements	Welter, R.;  Venturini, G.;  Ressouche, E.;  Malaman, B.	Journal of Alloys and Compounds (1995) 228,  p59-p74
