16969	P 63/m m c	Pt Sb	NiAs	Ueber Kristallstrukturen einiqer binaerer Verbindungen der Platinmetalle II	Thomassen, L.	Zeitschrift fuer Physikalische Chemie, Abteilung B: Chemie der Elementarprozesse, Aufbau der Materie (1929) 4,  p277-p287
20009	P 63/m m c	Ti Po	NiAs	Titanium, zirconium and hafnium monopolonides.	Prokin, E.S.;  Aksenov, B.S.;  Chebotarev, N.T.;  Ershova, Z.V.	Radiokhimiya (1978) 20,  p684-p686
20010	P 63/m m c	Zr Po	NiAs	Titanium, zirconium and hafnium monopolonides.	Prokin, E.S.;  Aksenov, B.S.;  Chebotarev, N.T.;  Ershova, Z.V.	Radiokhimiya (1978) 20,  p684-p686
20011	P 63/m m c	Hf Po	NiAs	Titanium, zirconium and hafnium monopolonides.	Prokin, E.S.;  Aksenov, B.S.;  Chebotarev, N.T.;  Ershova, Z.V.	Radiokhimiya (1978) 20, (5) p648-p664
23910	P 63/m m c	V Sb	NiAs	The crystal structure of V Sb	Grison, B.;  Beck, P.A.	Acta Crystallographica (1,1948-23,1967) (1962) 15,  p807-p808
24362	P 63/m m c	Rh B1.1	NiAs	Borides of Rhenium and the Platinum Metals. The Crystal Structures of Re7 B3, Re B3, Rh7 B3, Rh B1.1, Ir B1.1 and Pt B	Aronsson, B.;  Stenberg, E.;  Aselius, J.	Acta Chemica Scandinavica (1-27,1973-42,1988) (1960) 14,  p733-p741
24363	P 63/m m c	Pt B	NiAs	Borides of Rhenium and the Platinum Metals. The Crystal Structures of Re7 B3, Re B3, Rh7 B3, Rh B1.1, Ir B1.1 and Pt B	Aronsson, B.;  Stenberg, E.;  Aselius, J.	Acta Chemica Scandinavica (1-27,1973-42,1988) (1960) 14,  p733-p741
24792	P 63 m c	Cr Se	NiAs	Solid solutions between ferromagnetic and antiferromagnetic compounds with Ni As structure	Lotgering, F.K.;  Gorter, E.W.	Journal of Physics and Chemistry of Solids (1957) 3,  p238-p249
26617	P 63/m m c	Rh Te	NiAs	The Crystal Structures of Rh Te and Rh Te2	Geller, S.	Journal of the American Chemical Society (1955) 77,  p2641-p2644
29306	P 63/m m c	Fe Ni S2	NiAs	Roentgenographische Untersuchungen der Kristallstrukturen von Magnetkies, Breithauptit, Pentlandit, Millerit und verwandten Verbindungen	Alsen, N.	Geologiska Foereningens i Stockholm Foerhandlingar (1925) 47,  p19-p73
29307	P 63/m m c	Fe Co S2	NiAs	Roentgenographische Untersuchungen der Kristallstrukturen von Magnetkies, Breithauptit, Pentlandit, Millerit und verwandten Verbindungen	Alsen, N.	Geologiska Foereningens i Stockholm Foerhandlingar (1925) 47,  p19-p73
29309	P 63/m m c	Fe2 S Se	NiAs	Roentgenographische Untersuchungen der Kristallstrukturen von Magnetkies, Breithauptit, Pentlandit, Millerit und verwandten Verbindungen	Alsen, N.	Geologiska Foereningens i Stockholm Foerhandlingar (1925) 47,  p19-p73
29313	P 63/m m c	Ni S	NiAs	Roentgenographische Untersuchungen der Kristallstrukturen von Magnetkies, Breithauptit, Pentlandit, Millerit und verwandten Verbindungen	Alsen, N.	Geologiska Foereningens i Stockholm Foerhandlingar (1925) 47,  p19-p73
29304	P 63/m m c	Ni Sb	NiAs	Roentgenographische Untersuchungen der Kristallstrukturen von Magnetkies, Breithauptit, Pentlandit, Millerit und verwandten Verbindungen	Alsen, N.	Geologiska Foereningens i Stockholm Foerhandlingar (1925) 47,  p19-p73
29308	P 63/m m c	Fe Se	NiAs	Roentgenographische Untersuchungen der Kristallstrukturen von Magnetkies, Breithauptit, Pentlandit, Millerit und verwandten Verbindungen	Alsen, N.	Geologiska Foereningens i Stockholm Foerhandlingar (1925) 47,  p19-p73
29303	P 63/m m c	Ni As	NiAs	Roentgenographische Untersuchungen der Kristallstrukturen von Magnetkies, Breithauptit, Pentlandit, Millerit und verwandten Verbindungen	Alsen, N.	Geologiska Foereningens i Stockholm Foerhandlingar (1925) 47,  p19-p73
29305	P 63/m m c	Co S	NiAs	Roentgenographische Untersuchungen der Kristallstrukturen von Magnetkies, Breithauptit, Pentlandit, Millerit und verwandten Verbindungen	Alsen, N.	Geologiska Foereningens i Stockholm Foerhandlingar (1925) 47,  p19-p73
29300	P 63/m m c	Fe0.95 S1.05	NiAs	Roentgenographische Untersuchungen der Kristallstrukturen von Magnetkies, Breithauptit, Pentlandit, Millerit und verwandten Verbindungen	Alsen, N.	Geologiska Foereningens i Stockholm Foerhandlingar (1925) 47,  p19-p73
29301	P 63/m m c	Fe1.05 S0.95	NiAs	Roentgenographische Untersuchungen der Kristallstrukturen von Magnetkies, Breithauptit, Pentlandit, Millerit und verwandten Verbindungen	Alsen, N.	Geologiska Foereningens i Stockholm Foerhandlingar (1925) 47,  p19-p73
29302	P 63/m m c	Fe S	NiAs	Roentgenographische Untersuchungen der Kristallstrukturen von Magnetkies, Breithauptit, Pentlandit, Millerit und verwandten Verbindungen	Alsen, N.	Geologiska Foereningens i Stockholm Foerhandlingar (1925) 47,  p19-p73
29310	P 63/m m c	Ni Se	NiAs	Roentgenographische Untersuchungen der Kristallstrukturen von Magnetkies, Breithauptit, Pentlandit, Millerit und verwandten Verbindungen	Alsen, N.	Geologiska Foereningens i Stockholm Foerhandlingar (1925) 47,  p19-p73
38375	P 63/m m c	Pd (Pb0.2 As0.8)	NiAs	Kristallstrukturdaten von Pd Pb0.2 As0.8 (m).	Ellner, M.;  Kattner, U.;  Predel, B.	Journal of Applied Crystallography (1983) 16,  p277-p278
49665	P 63/m m c	Ni S	NiAs	X-ray diffraction study of Ni S And Cr S at high pressures	Vaidya, N.	Indian Journal for Pure and Applied Physics (1976) 14,  p600-p601
49666	P 63/m m c	Cr S	NiAs	X-ray diffraction study of Ni S and Cr S at high pressures	Vaidya, N.	Indian Journal for Pure and Applied Physics (1976) 14,  p600-p601
81719	P 63/m m c	Cr Te	NiAs	Synthesis of Cr1-x Mnx Te (0 &lt; x &lt; 1.0) solid solutions	Makovetskii, G.I.;  Galyas, A.I.;  Severin, G.M.;  Yanushkevich, K.I.	Inorganic Materials (1996) 32, (8) p960-p964
81720	P 63/m m c	(Cr0.9 Mn0.1) Te	NiAs	Synthesis of Cr1-x Mnx Te (0 &lt; x &lt; 1.0) solid solutions	Makovetskii, G.I.;  Galyas, A.I.;  Severin, G.M.;  Yanushkevich, K.I.	Inorganic Materials (1996) 32, (8) p960-p964
81721	P 63/m m c	(Cr0.8 Mn0.2) Te	NiAs	Synthesis of Cr1-x Mnx Te (0 &lt; x &lt; 1.0) solid solutions	Makovetskii, G.I.;  Galyas, A.I.;  Severin, G.M.;  Yanushkevich, K.I.	Inorganic Materials (1996) 32, (8) p960-p964
81722	P 63/m m c	(Cr0.7 Mn0.3) Te	NiAs	Synthesis of Cr1-x Mnx Te (0 &lt; x &lt; 1.0) solid solutions	Makovetskii, G.I.;  Galyas, A.I.;  Severin, G.M.;  Yanushkevich, K.I.	Inorganic Materials (1996) 32, (8) p960-p964
81723	P 63/m m c	(Cr0.6 Mn0.4) Te	NiAs	Synthesis of Cr1-x Mnx Te (0 &lt; x &lt; 1.0) solid solutions	Makovetskii, G.I.;  Galyas, A.I.;  Severin, G.M.;  Yanushkevich, K.I.	Inorganic Materials (1996) 32, (8) p960-p964
81724	P 63/m m c	(Cr0.5 Mn0.5) Te	NiAs	Synthesis of Cr1-x Mnx Te (0 &lt; x &lt; 1.0) solid solutions	Makovetskii, G.I.;  Galyas, A.I.;  Severin, G.M.;  Yanushkevich, K.I.	Inorganic Materials (1996) 32, (8) p960-p964
81725	P 63/m m c	(Cr0.4 Mn0.6) Te	NiAs	Synthesis of Cr1-x Mnx Te (0 &lt; x &lt; 1.0) solid solutions	Makovetskii, G.I.;  Galyas, A.I.;  Severin, G.M.;  Yanushkevich, K.I.	Inorganic Materials (1996) 32, (8) p960-p964
81726	P 63/m m c	(Cr0.3 Mn0.7) Te	NiAs	Synthesis of Cr1-x Mnx Te (0 &lt; x &lt; 1.0) solid solutions	Makovetskii, G.I.;  Galyas, A.I.;  Severin, G.M.;  Yanushkevich, K.I.	Inorganic Materials (1996) 32, (8) p960-p964
81727	P 63/m m c	(Cr0.2 Mn0.8) Te	NiAs	Synthesis of Cr1-x Mnx Te (0 &lt; x &lt; 1.0) solid solutions	Makovetskii, G.I.;  Galyas, A.I.;  Severin, G.M.;  Yanushkevich, K.I.	Inorganic Materials (1996) 32, (8) p960-p964
81728	P 63/m m c	(Cr0.1 Mn0.9) Te	NiAs	Synthesis of Cr1-x Mnx Te (0 &lt; x &lt; 1.0) solid solutions	Makovetskii, G.I.;  Galyas, A.I.;  Severin, G.M.;  Yanushkevich, K.I.	Inorganic Materials (1996) 32, (8) p960-p964
81729	P 63/m m c	Mn Te	NiAs	Synthesis of Cr1-x Mnx Te (0 &lt; x &lt; 1.0) solid solutions	Makovetskii, G.I.;  Galyas, A.I.;  Severin, G.M.;  Yanushkevich, K.I.	Inorganic Materials (1996) 32, (8) p960-p964
83868	P 63/m m c	V Se	NiAs	Large structural and magnetic phase stability of V S and V Se	Knecht, M.;  Ebert, H.;  Bensch, W.	Journal of Alloys and Compounds (1997) 246,  p166-p176
43361	P 63/m m c	Ni As	NiAs	Phase relations in the system Ni-As	Yund, R.A.	Economic Geology and the Bulletin of the Society of Economic Geologists (1962) 56,  p1273-p1296
41769	P 63/m m c	Mn As	NiAs	Phase transitions in Mn As	Zieba, A.;  Selte, K.;  Kjekshus, A.;  Andresen, A.F.	Acta Chemica Scandinavica, Series A: (28,1974-) (1978) 32,  p173-p177
41770	P 63/m m c	Mn As	NiAs	Phase transitions in Mn As	Zieba, A.;  Selte, K.;  Kjekshus, A.;  Andresen, A.F.	Acta Chemica Scandinavica, Series A: (28,1974-) (1978) 32,  p173-p177
42444	P 63/m m c	V P	NiAs	Structural and magnetic properties of V P and V As	Selte, K.;  Kjekshus, A.;  Andresen, A.F.	Acta Chemica Scandinavica (1-27,1973-42,1988) (1972) 26,  p4057-p4062
42487	P 63 m c	Fe0.94 S	NiAs	Some defect structures of iron sulfide	Fasiska, E.J.	Physica Status Solidi A - Applications and Materials (1972) 10,  p169-p173
42492	P 63/m m c	Ni S	NiAs	X-ray diffraction measurements on metallic and semiconducting hexagonall Ni S	Trahan, J.;  Goodrich, R.G.;  Watkins, S.F.	Physical Review, Serie 3. B - Solid State (1,1970-17,1977) (1970) 2,  p2859-p2862
42493	P 63 m c	Ni S	NiAs	X-ray diffraction measurements on metallic and semiconducting hexagonal Ni S	Trahan, J.;  Goodrich, R.G.;  Watkins, S.F.	Physical Review, Serie 3. B - Solid State (1,1970-17,1977) (1970) 2,  p2859-p2862
42494	P 63 m c	Ni S	NiAs	Pressure-temperature phase diagram and crystal structure of Ni S	McWhan, D.B.;  Marezio, M.;  Remeika, J.P.;  Dernier, P.D.	Physical Review, Serie 3. B - Solid State (1,1970-17,1977) (1972) 5,  p2552-p2555
42541	P 63/m m c	Co Se	NiAs	Uebergangsmetall-Chalkogensystem, 1. Mitt.: Das System Kobalt-Selen	Komarek, K.L.;  Wessely, K.	Monatshefte fuer Chemie (1972) 103,  p896-p906
42547	P 63/m m c	Pt2 Sb Bi	NiAs	Investigation of ternary solid solutions on the basis of superconducting compounds	Zhuravlev, N.N.;  Zhdanov, G.S.;  Smirnov, Yu.M.	Fizika Metallov i Metallovedenie (1962) 13,  p55-p61
42553	P 63/m m c	Pd Te	NiAs	Synthesis, structures, and properties of platinum metal tellurides	Groeneveld Meijer, W.O.J.	American Mineralogist (1955) 40,  p646-p657
42557	P 63/m m c	Ni Te	NiAs	On the system Ni-Se-Te	Rost, E.;  Vestersjoe, E.	Acta Chemica Scandinavica (1-27,1973-42,1988) (1968) 22,  p2118-p2134
42593	P 63/m m c	Pt Sn	NiAs	Phases and phase relations in the system Pd-Pt-Sn	Shelton, K.L.;  Merewether, P.A.;  Skinner, B.J.	Canadian Mineralogist (1981) 19,  p599-p605
42594	P 63/m m c	Pt Sn	NiAs	A study of some palladium-indium, platinum-indium and platinum-tin alloys	Harris, I.R.;  Norman, M.;  Bryant, A.W.	Journal of the Less-Common Metals (1968) 16,  p427-p440
42597	P 63/m m c	Pd Sb	NiAs	On the properties of the Cr1+x Sb, Fe1+x Sb, Co1+x Sb, Ni1+x Sb, Pd1+x Sb, and Pt1+x Sb phases	Kjekshus, A.;  Walseth, K.P.	Acta Chemica Scandinavica (1-27,1973-42,1988) (1969) 23,  p2621-p2630
42598	P 63/m m c	Pd Sb	NiAs	X-ray studies of palladium-cadmium and palladium-antimony alloys	Pratt, J.N.;  Myles, K.M.;  Darby, J.B.jr.;  Mueller, M.H.	Acta Chemica Scandinavica (1-27,1973-42,1988) (1969) 23,  p2621-p2630
43541	P 63/m m c	Mn Te	NiAs	The Mn Te - Ge Te phase diagram	Johnston, W.D.;  Sestrich, D.E.	Atti della Accademia Nazionale dei Lincei, Classe di Fisiche, Matematiche e Naturali, Rendiconti (1961) 30,  p208-p213
43562	P 63/m m c	Ni S0.997	NiAs	X-ray diffraction determination of the homogeneity boundaries and nature of the beta-Ni S phase	Kuznetsov, V.G.;  Eliseev, A.A.	Zhurnal Strukturnoi Khimii (Issue-No. from 1981) (1961) 2,  p578-p584
43593	P 63/m m c	Sc Te	NiAs	Scandium chalcogenides	Men&#39;kov, A.A.;  Komissarova, L.N.;  Simanov, Yu.P;  Spicyn, V.I.	Doklady Akademii Nauk SSSR (1961) 141,  p364-p367
43616	P 63/m m c	Ti0.95 Se	NiAs	X-ray study of titanium selenides	Groenvold, F.;  Langmyhr, F.J.	Acta Chemica Scandinavica (1-27,1973-42,1988) (1961) 15,  p1949-p1962
