62846	C m m a	Pb O	PbO(oS8)	Monoxyde quadratique Pb O alpha (I): Description de la transition structurale ferroelastique	Boher, P.;  Garnier, P.;  Gavarri, J.R.;  Hewat, A.W.	Journal of Solid State Chemistry (1985) 57,  p343-p350
62847	C m m a	Pb O	PbO(oS8)	Monoxyde quadratique Pb O alpha (I): Description de la transition structurale ferroelastique	Boher, P.;  Garnier, P.;  Gavarri, J.R.;  Hewat, A.W.	Journal of Solid State Chemistry (1985) 57,  p343-p350
62848	C m m a	Pb O	PbO(oS8)	Monoxyde quadratique Pb O alpha (I): Description de la transition structurale ferroelastique	Boher, P.;  Garnier, P.;  Gavarri, J.R.;  Hewat, A.W.	Journal of Solid State Chemistry (1985) 57,  p343-p350
62849	C m m a	Pb O	PbO(oS8)	Monoxyde quadratique Pb O alpha (I): Description de la transition structurale ferroelastique	Boher, P.;  Garnier, P.;  Gavarri, J.R.;  Hewat, A.W.	Journal of Solid State Chemistry (1985) 57,  p343-p350
99776	C m m a	Pb O	PbO(oS8)	Reinvestigation of the incommensurate structure of alpha - (Pb O)	Baldinozzi, G.;  Raulot, J.M.;  Petricek, V.	Materials Research Society Symposia Proceedings (2003) 755,  p465-p470
290409	C m m a	Fe Se0.9228	PbO(oS8)	Simultaneous measurement of pressure evolution of crystal structure and superconductivity in Fe Se0.92 using designer diamonds	Uhoya, Walter;  Tsoi, Georgiy;  Vohra, Yogesh;  Wolanyk, Nathaniel;  Rao, Sistla Muralidhara;  Wu, Maw-Kuen;  Weir, Samuel	EPL - A letters journal exploring the frontiers of physics (2012) 99, (2) p26002-1-p26002-6
290411	C m m a	Fe Se	PbO(oS8)	Simultaneous measurement of pressure evolution of crystal structure and superconductivity in Fe Se0.92 using designer diamonds	Uhoya, Walter;  Tsoi, Georgiy;  Vohra, Yogesh;  Wolanyk, Nathaniel;  Rao, Sistla Muralidhara;  Wu, Maw-Kuen;  Weir, Samuel	EPL - A letters journal exploring the frontiers of physics (2012) 99, (2) p26002-1-p26002-6
161788	C m m a	Fe Se0.92	PbO(oS8)	Crytal structure of the new Fe Se1-x superconductor	Margadonna, S.;  Takabayashi, Y.;  McDonald, M.T.;  Kasperkiewicz, K.;  Mizuguchi, Y.;  Takano, Y.;  Fitch, A.N.;  Suard, E.;  Prassides, K.	ChemComm - Chemical Communications (2008) 2008,  p5607-p5609
163555	C m m a	Fe Se	PbO(oS8)	Pressure-induced effects on the structure of the Fe Se superconductor	Millican, J.N.;  Phelan, D.;  Thomas, E.L.;  Leao, J.B.;  Carpenter, E.	Solid State Communications (2009) 149,  p707-p710
163556	C m m a	Fe Se	PbO(oS8)	Pressure-induced effects on the structure of the Fe Se superconductor	Millican, J.N.;  Phelan, D.;  Thomas, E.L.;  Leao, J.B.;  Carpenter, E.	Solid State Communications (2009) 149,  p707-p710
163557	C m m a	Fe Se	PbO(oS8)	Pressure-induced effects on the structure of the Fe Se superconductor	Millican, J.N.;  Phelan, D.;  Thomas, E.L.;  Leao, J.B.;  Carpenter, E.	Solid State Communications (2009) 149,  p707-p710
163558	C m m a	Fe Se	PbO(oS8)	Pressure-induced effects on the structure of the Fe Se superconductor	Millican, J.N.;  Phelan, D.;  Thomas, E.L.;  Leao, J.B.;  Carpenter, E.	Solid State Communications (2009) 149,  p707-p710
166439	C m m a	Fe Se	PbO(oS8)	Pressure evolution of the low-temperature crystal structure and bonding of the superconductor Fe Se (Tc= 37 K)	Margadonna, S.;  Takabayashi, Y.;  Ohishi, Y.;  Mizuguchi, Y.;  Takano, Y.;  Kagayama, T.;  Nakagawa, T.;  Takata, M.;  Prassides, K.	Physical Review, Serie 3. B - Condensed Matter (18,1978-) (2009) 80,  p064506-1-p064506-5
166440	C m m a	Fe Se	PbO(oS8)	Pressure evolution of the low-temperature crystal structure and bonding of the superconductor Fe Se (Tc= 37 K)	Margadonna, S.;  Takabayashi, Y.;  Ohishi, Y.;  Mizuguchi, Y.;  Takano, Y.;  Kagayama, T.;  Nakagawa, T.;  Takata, M.;  Prassides, K.	Physical Review, Serie 3. B - Condensed Matter (18,1978-) (2009) 80,  p064506-1-p064506-5
166441	C m m a	Fe Se	PbO(oS8)	Pressure evolution of the low-temperature crystal structure and bonding of the superconductor Fe Se (Tc= 37 K)	Margadonna, S.;  Takabayashi, Y.;  Ohishi, Y.;  Mizuguchi, Y.;  Takano, Y.;  Kagayama, T.;  Nakagawa, T.;  Takata, M.;  Prassides, K.	Physical Review, Serie 3. B - Condensed Matter (18,1978-) (2009) 80,  p064506-1-p064506-5
169283	C m m a	Fe Se	PbO(oS8)	Crystal and electronic structure of Fe Se at high pressure and low temperature	Kumar, R.S.;  Zhang Yi;  Sinogeikin, S.;  Xiao Yu Ming;  Kumar, S.;  Chow, P.;  Cornelius, A.L.;  Chen Chang Feng	Journal of Physical Chemistry B (2010) 114,  p12597-p12606
169285	C m m a	Fe Se	PbO(oS8)	Crystal and electronic structure of Fe Se at high pressure and low temperature	Kumar, R.S.;  Zhang Yi;  Sinogeikin, S.;  Xiao Yu Ming;  Kumar, S.;  Chow, P.;  Cornelius, A.L.;  Chen Chang Feng	Journal of Physical Chemistry B (2010) 114,  p12597-p12606
