formula,element1,n1,element2,n2,element3,n3,crystalsystem,spacegroup,bandgap,,,,,,,,,
La2Fe2S5,S,10,Fe,4,La,4,orthorhombic,36,0,23518,1478,,,,,,,
La3Fe2S7,S,14,Fe,4,La,6,hexagonal,173,0,603953,,,,,,,,
BaVS3,S,6,Ba,2,V,2,hexagonal,194,0,8193,8194,154181,616098,15537,62711,23194,63228,
BaVS3,S,6,Ba,2,V,2,orthorhombic,20,0,63230,,,,,,,,
BaVS3,S,6,Ba,2,V,2,orthorhombic,36,0,616099,52692,63229,154182,,,,,
Ba3CrS5,Cr,2,S,10,Ba,6,hexagonal,185,0,97539,,,,,,,,
Ba6Fe8S15,S,15,Ba,6,Fe,8,tetragonal,87,0,16309,,,,,,,,
BaFe2S3,S,6,Ba,2,Fe,4,orthorhombic,63,0,16307,,,,,,,,
Ba(FeS2)2,S,4,Ba,1,Fe,2,tetragonal,87,0,23081,,,,,,,,
Ba(FeS2)2,S,4,Ba,1,Fe,2,tetragonal,79,0,,,,,,,,,
Ba7(Fe3S7)2,S,28,Ba,14,Fe,12,monoclinic,15,0,26241,,,,,,,,
Ba(FeS2)2,S,4,Ba,1,Fe,2,tetragonal,97,0,,,,,,,,,
BaCoS2,S,4,Co,2,Ba,2,tetragonal,129,0,657865,246938,75515,82639,,,,,
BaNiS2,Ni,2,S,4,Ba,2,tetragonal,129,0,15289,246945,,,,,,,
K3(VS2)5,S,10,K,3,V,5,triclinic,1,0,,,,,,,,,
K(V5S8)2,S,32,K,2,V,20,monoclinic,13,0,29266,,,,,,,,
K2Mn3S4,S,8,Mn,6,K,4,monoclinic,13,0,411172,,,,,,,,
KFeS2,K,2,S,4,Fe,2,monoclinic,15,0,600292,15557,202380,202382,202383,632398,167453,167454,68383
KFe2S3,K,2,S,6,Fe,4,orthorhombic,63,0,99507,100180,,,,,,,
K3(FeS2)2,K,12,S,16,Fe,8,orthorhombic,62,0,79224,,,,,,,,
K2CoS2,S,4,Co,2,K,4,orthorhombic,72,0,623960,67387,623958,,,,,,
K(CoS)2,S,2,Co,2,K,1,tetragonal,139,0,623956,,,,,,,,
K(NiS)2,Ni,2,S,2,K,1,tetragonal,139,0,641273,,,,,,,,
Ba5(FeS2)9,S,72,Ba,20,Fe,36,tetragonal,130,0.0005,1801,,,,,,,,
Sr(FeS2)2,Sr,8,S,32,Fe,16,orthorhombic,50,0.0021,,,,,,,,,
Sr(FeS2)2,Sr,8,S,32,Fe,16,orthorhombic,50,0.0021,,,,,,,,,
Ba3FeS5,S,20,Ba,12,Fe,4,orthorhombic,62,0.003,280,,,,,,,,
K(V5S8)3,S,24,K,1,V,15,triclinic,2,0.0039,,,,,,,,,
K3(Cu4S3)2,S,6,K,3,Cu,8,monoclinic,12,0.0044,10054,,,,,,,,
BaVS3,S,12,Ba,4,V,4,monoclinic,8,0.0063,154184,154183,,,,,,,
Ba6Cu34S27,S,27,Ba,6,Cu,34,triclinic,1,0.0106,,,,,,,,,
Ba9Fe4S15,S,60,Ba,36,Fe,16,orthorhombic,62,0.0122,41841,660156,,,,,,,
Ba6Ni25S27,Ni,25,S,27,Ba,6,cubic,221,0.0152,83476,,,,,,,,
Ba15Fe7S25,S,100,Ba,60,Fe,28,orthorhombic,62,0.0247,279,,,,,,,,
Y2CrS4,Y,16,Cr,8,S,32,orthorhombic,29,0.0285,158499,,,,,,,,
Ba6Co25S27,S,27,Co,25,Ba,6,cubic,221,0.0344,71939,,,,,,,,
BaCu4S3,S,6,Ba,2,Cu,8,orthorhombic,63,0.0379,15139,,,,,,,,
Ba5Fe4S11,S,22,Ba,10,Fe,8,orthorhombic,31,0.0457,16372,,,,,,,,
Ba2CoS3,S,12,Co,4,Ba,8,orthorhombic,62,0.0481,160294,160295,,,,,,,
LaCrS3,Cr,4,S,12,La,4,orthorhombic,62,0.056,51123,,,,,,,,
KCu4S3,S,3,K,1,Cu,4,tetragonal,123,0.0906,23336,602356,,,,,,,
BaCr4S7,Cr,16,S,28,Ba,4,monoclinic,14,0.1196,418254,,,,,,,,
K3Cr11S18,Cr,11,S,18,K,3,monoclinic,12,0.2072,73144,,,,,,,,
K9Co2S7,S,28,Co,8,K,36,cubic,205,0.3106,,,,,,,,,
KCr5S8,Cr,5,S,8,K,1,monoclinic,12,0.3523,2568,,,,,,,,
K6CoS4,S,8,Co,2,K,12,hexagonal,186,0.4323,68603,,,,,,,,
BaMnS2,S,8,Mn,4,Ba,4,orthorhombic,62,0.4367,615969,31453,,,,,,,
BaCu4S3,S,12,Ba,4,Cu,16,orthorhombic,62,0.4519,15138,,,,,,,,
KCu3S2,S,4,K,2,Cu,6,monoclinic,12,0.4597,100001,,,,,,,,
Ba(CuS)2,S,2,Ba,1,Cu,2,tetragonal,139,0.506,203088,615832,615834,615837,89575,,,,
K9Fe2S7,K,36,S,28,Fe,8,cubic,198,0.5148,73053,,,,,,,,
Ba3(CrS3)2,Cr,4,S,12,Ba,6,trigonal,167,0.6308,97540,,,,,,,,
K2Ni3S4,Ni,6,S,8,K,4,orthorhombic,70,0.7068,81731,,,,,,,,
Ba(CuS)2,S,8,Ba,4,Cu,8,orthorhombic,62,0.9028,66656,89573,,,,,,,
K2MnS2,S,4,Mn,2,K,4,orthorhombic,72,0.9733,65453,,,,,,,,
Ba2MnS3,S,12,Mn,4,Ba,8,orthorhombic,62,1.1095,603195,26231,,,,,,,
KCrS2,Cr,1,S,2,K,1,trigonal,166,1.1612,25723,42406,42407,,,,,,
K6MnS4,S,8,Mn,2,K,12,hexagonal,186,1.3035,65448,,,,,,,,
LaCuS2,S,8,Cu,4,La,4,monoclinic,14,1.4759,653616,628238,415078,24375,,,,,
K3VS4,S,16,K,12,V,4,orthorhombic,62,1.583,641342,81413,74678,,,,,,
YCuS2,Y,4,S,8,Cu,4,orthorhombic,62,1.5967,92458,,,,,,,,
YCuS2,Y,4,S,8,Cu,4,orthorhombic,19,1.5972,628960,152553,628966,,,,,,
La2CuS4,S,16,Cu,4,La,8,monoclinic,14,1.6292,412900,,,,,,,,
KCuS,S,4,K,4,Cu,4,orthorhombic,62,1.8615,49008,,,,,,,,
