Material,Publications,Crystal System,Space Group,Calculated Band Gap,superconduct,conduct,resist,metal,insulator,doped,ferromagnetism,antiferromagnetism,ferrimagnetism,magnet,\d K,DFT,DMFT,charge density wave,band structure,susceptibility,NMR,nuclear magnetic resonance,neutron,mu-SR,x-ray
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A1"",""BaVSe3"")",9,"orthorhombic, hexagonal","36, 194","0, 0",,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A3"",""1"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A4"",""3"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A5"",""6"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A6"",""2"")",,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A7"",""1"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A8"",""1"")",,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A9"",""6"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A10"",""4"")",,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A11"",""1"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A12"",""2"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A13"",""1"")",,,,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A16"",""BaFe2Se3"")",19,orthorhombic,62,0,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A18"",""9"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A19"",""10"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A20"",""2"")",,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A21"",""1"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A22"",""1"")",,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A23"",""15"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A24"",""12"")",,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A25"",""1"")",,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A26"",""2"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A27"",""3"")",,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A28"",""8"")",,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A29"",""2"")"
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A32"",""Ba3Fe3Se7"")",0,hexagonal,186,0,,,,,,,,,,,,,,,,,,,,,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A36"",""K3FeSe3"")",2,monoclinic,14,0,,,,,,,,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A38"",""1"")",,,,,,,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A39"",""1"")",,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A42"",""KFeSe2"")",2,monoclinic,15,0,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A44"",""1"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A45"",""1"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A46"",""1"")",,,,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A47"",""1"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A48"",""1"")",,,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A49"",""1"")",,,,,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A52"",""K(CoSe)2, KCo2Se2"")",23,tetragonal,139,0,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A54"",""4"")",,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A55"",""4"")",,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A56"",""1"")",,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A57"",""4"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A58"",""10"")",,,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A59"",""2"")",,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A60"",""2"")",,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A63"",""K2CoSe2"")",0,orthorhombic,72,0,,,,,,,,,,,,,,,,,,,,,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A67"",""K(NiSe)2, KNi2Se2"")",8,tetragonal,139,0,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A69"",""2"")",,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A70"",""3"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A71"",""1"")",,,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A72"",""1"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A73"",""5"")",,,,,,,,,,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A76"",""K(CuSe)2, KCu2Se2"")",41,tetragonal,139,0,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A78"",""1"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A79"",""14"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A80"",""7"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A81"",""10"")",,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A82"",""1"")",,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A83"",""6"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A84"",""25"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A85"",""1"")",,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A86"",""2"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A87"",""3"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A88"",""1"")",,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A89"",""1"")",,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A90"",""1"")"
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\selenidesMaterialsKeySearchFull.csv]selenidesMaterialsKeySearchFull!A93"",""K3(FeSe2)2, K3Fe2Se4"")",0,orthorhombic,62,0.0152,,,,,,,,,,,,,,,,,,,,,
