Material,Publications,Crystal System,Space Group,Calculated Band Gap,superconduct,conduct,resist,metal,insulator,doped,ferromagnetism,antiferromagnetism,ferrimagnetism,magnet,\d K,DFT,DMFT,charge density wave,band structure,susceptibility,NMR,nuclear magnetic resonance,neutron,mu-SR,x-ray
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\twoMetalsMaterialsKeySearchFull.csv]twoMetalsMaterialsKeySearchFull!A1"",""Fe(RhS2)2, FeRh2S4"")",0,cubic,227,0,,,,,,,,,,,,,,,,,,,,,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\twoMetalsMaterialsKeySearchFull.csv]twoMetalsMaterialsKeySearchFull!A5"",""Ni2RhS4"")",0,orthorhombic,74,0,,,,,,,,,,,,,,,,,,,,,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\twoMetalsMaterialsKeySearchFull.csv]twoMetalsMaterialsKeySearchFull!A9"",""Cu(RhS2)2, CuRh2S4"")",0,cubic,227,0,,,,,,,,,,,,,,,,,,,,,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\twoMetalsMaterialsKeySearchFull.csv]twoMetalsMaterialsKeySearchFull!A13"",""Ni(RhSe2)2, NiRh2Se4"")",0,monoclinic,12,0,,,,,,,,,,,,,,,,,,,,,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\twoMetalsMaterialsKeySearchFull.csv]twoMetalsMaterialsKeySearchFull!A17"",""Cu(RhSe2)2, CuRh2Se4"")",0,cubic,227,0,,,,,,,,,,,,,,,,,,,,,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\twoMetalsMaterialsKeySearchFull.csv]twoMetalsMaterialsKeySearchFull!A21"",""FeAgS2"")",0,tetragonal,122,0,,,,,,,,,,,,,,,,,,,,,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\twoMetalsMaterialsKeySearchFull.csv]twoMetalsMaterialsKeySearchFull!A25"",""CuAuSe4"")",0,monoclinic,11,0,,,,,,,,,,,,,,,,,,,,,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\twoMetalsMaterialsKeySearchFull.csv]twoMetalsMaterialsKeySearchFull!A29"",""Cu(IrS2)2, CuIr2S4"")",0,cubic,227,0,,,,,,,,,,,,,,,,,,,,,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\twoMetalsMaterialsKeySearchFull.csv]twoMetalsMaterialsKeySearchFull!A33"",""Co2RhS4"")",0,orthorhombic,74,0.0029,,,,,,,,,,,,,,,,,,,,,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\twoMetalsMaterialsKeySearchFull.csv]twoMetalsMaterialsKeySearchFull!A37"",""Cr5AgS8"")",0,monoclinic,11,0.0105,,,,,,,,,,,,,,,,,,,,,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\twoMetalsMaterialsKeySearchFull.csv]twoMetalsMaterialsKeySearchFull!A41"",""Fe2RhS4"")",0,orthorhombic,74,0.0108,,,,,,,,,,,,,,,,,,,,,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\twoMetalsMaterialsKeySearchFull.csv]twoMetalsMaterialsKeySearchFull!A45"",""Fe2AgS3"")",0,orthorhombic,64,0.0181,,,,,,,,,,,,,,,,,,,,,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\twoMetalsMaterialsKeySearchFull.csv]twoMetalsMaterialsKeySearchFull!A49"",""Cu(PtS2)2, CuPt2S4"")",0,monoclinic,10,0.1393,,,,,,,,,,,,,,,,,,,,,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\twoMetalsMaterialsKeySearchFull.csv]twoMetalsMaterialsKeySearchFull!A53"",""CrAgSe2"")",0,"trigonal, trigonal","160, 160","0.338, 0",,,,,,,,,,,,,,,,,,,,,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\twoMetalsMaterialsKeySearchFull.csv]twoMetalsMaterialsKeySearchFull!A57"",""CuAg3S2"")",0,"tetragonal, tetragonal","88, 141","0.429, 0.4112",,,,,,,,,,,,,,,,,,,,,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\twoMetalsMaterialsKeySearchFull.csv]twoMetalsMaterialsKeySearchFull!A61"",""CuAgS"")",3,"orthorhombic, orthorhombic","62, 63","0.5629, 0.2572",,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\twoMetalsMaterialsKeySearchFull.csv]twoMetalsMaterialsKeySearchFull!A63"",""1"")",,,,,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\twoMetalsMaterialsKeySearchFull.csv]twoMetalsMaterialsKeySearchFull!A64"",""1"")",,,,,,,,,,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\twoMetalsMaterialsKeySearchFull.csv]twoMetalsMaterialsKeySearchFull!A67"",""CrAuS2"")",0,trigonal,166,0.5956,,,,,,,,,,,,,,,,,,,,,
