Material,Publications,Crystal System,Space Group,Calculated Band Gap,superconduct,conduct,resist,metal,insulator,doped,ferromagnetism,antiferromagnetism,ferrimagnetism,magnet,\d K,DFT,DMFT,charge density wave,band structure,susceptibility,NMR,nuclear magnetic resonance,neutron,mu-SR,x-ray
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A1"",""La2MnVO6"")",2,V,2,monoclinic,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A3"",""1"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A4"",""1"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A5"",""1"")",,,,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A6"",""2"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A7"",""1"")",,,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A8"",""1"")",,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A9"",""1"")",,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A12"",""LaVO4"")",204,"tetragonal, monoclinic, tetragonal, monoclinic, tetragonal, monoclinic, tetragonal, monoclinic, tetragonal, monoclinic, tetragonal, monoclinic, tetragonal, monoclinic, tetragonal, monoclinic","141, 14, 141, 14, 141, 14, 141, 14, 141, 14, 141, 14, 141, 14, 141, 14","3.1222, 3.5131, 3.1222, 3.5131, 3.1222, 3.5131, 3.1222, 3.5131, 3.1222, 3.5131, 3.1222, 3.5131, 3.1222, 3.5131, 3.1222, 3.5131",,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A14"",""2"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A15"",""1"")",,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A16"",""1"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A17"",""10"")",,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A18"",""2"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A19"",""2"")",,,,,,,,,,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A22"",""LaV3O9"")",1,"monoclinic, monoclinic, monoclinic, monoclinic, monoclinic, monoclinic, monoclinic, monoclinic","11, 11, 11, 11, 11, 11, 11, 11","2.57, 2.57, 2.57, 2.57, 2.57, 2.57, 2.57, 2.57",,,,,,,,,,,,,,,,,,,,,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A26"",""LaVO3"")",170,"cubic, orthorhombic, cubic, orthorhombic, cubic, orthorhombic, cubic, orthorhombic, cubic, orthorhombic, cubic, orthorhombic, cubic, orthorhombic, cubic, orthorhombic","221, 62, 221, 62, 221, 62, 221, 62, 221, 62, 221, 62, 221, 62, 221, 62","0.0206, 0.998, 0.0206, 0.998, 0.0206, 0.998, 0.0206, 0.998, 0.0206, 0.998, 0.0206, 0.998, 0.0206, 0.998, 0.0206, 0.998","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A28"",""2"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A29"",""8"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A30"",""2"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A31"",""14"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A32"",""9"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A33"",""2"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A34"",""3"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A35"",""2"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A36"",""2"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A37"",""28"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A38"",""10"")",,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A39"",""3"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A40"",""1"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A41"",""1"")",,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A42"",""4"")",,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A43"",""1"")"
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A46"",""La11V4O26"")",0,"triclinic, triclinic, triclinic, triclinic, triclinic, triclinic, triclinic, triclinic","2, 2, 2, 2, 2, 2, 2, 2","1.0185, 1.0185, 1.0185, 1.0185, 1.0185, 1.0185, 1.0185, 1.0185",,,,,,,,,,,,,,,,,,,,,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A50"",""SrV2(NiO4)2, SrV2Ni2O8"")",0,V,8,tetragonal,,,,,,,,,,,,,,,,,,,,,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A54"",""SrV2CuO7"")",0,V,8,orthorhombic,,,,,,,,,,,,,,,,,,,,,
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A58"",""SrV2O6"")",8,"orthorhombic, orthorhombic, orthorhombic, orthorhombic, orthorhombic, orthorhombic, orthorhombic, orthorhombic","62, 62, 62, 62, 62, 62, 62, 62","2.8228, 2.8228, 2.8228, 2.8228, 2.8228, 2.8228, 2.8228, 2.8228",,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A60"",""2"")",,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A61"",""1"")",,,,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A62"",""1"")",,,,,,,,,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A63"",""1"")"
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A66"",""Sr3V2O8"")",23,"trigonal, trigonal, trigonal, trigonal, trigonal, trigonal, trigonal, trigonal","166, 166, 166, 166, 166, 166, 166, 166","3.676, 3.676, 3.676, 3.676, 3.676, 3.676, 3.676, 3.676","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A68"",""2"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A69"",""8"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A70"",""3"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A71"",""4"")",,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A72"",""2"")",,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A73"",""6"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A74"",""4"")",,,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A75"",""2"")",,,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A76"",""2"")"
"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A79"",""SrVO3"")",151,"cubic, cubic, cubic, cubic, cubic, cubic, cubic, cubic","221, 221, 221, 221, 221, 221, 221, 221","0.2447, 0.2447, 0.2447, 0.2447, 0.2447, 0.2447, 0.2447, 0.2447",,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A81"",""9"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A82"",""9"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A83"",""28"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A84"",""11"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A85"",""3"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A86"",""1"")",,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A87"",""10"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A88"",""5"")",,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A89"",""10"")",,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A90"",""3"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A91"",""3"")","=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A92"",""1"")",,,,"=HYPERLINK(""[C:\Users\eager55\Desktop\webScrape\searchWoK\searchWoKResults\vanadatesMaterialsKeySearchFull.csv]vanadatesMaterialsKeySearchFull!A93"",""2"")"
