formula,element1,n1,element2,n2,element3,n3,crystalsystem,spacegroup,bandgap,,,,,,,,,,,,,,,,,,,,,x
VO,O,1,V,1,cubic,225,1.1025,60486,28681,647627,647635,647633,647603,77705,647609,647611,61631,,,,,,,,,,,,,x
V2O5,O,10,V,4,monoclinic,11,1.6982,59960,59961,156051,,,,,,,,,,,,,,,,,,,,x
V2O3,O,6,V,4,trigonal,167,0.4761,1872,95760,97442,1473,64796,64786,1869,1870,1871,94768,95761,201106,201107,201108,201109,1873,25780,1874,655262,,,,x
V2O5,O,10,V,4,orthorhombic,59,2.1562,99808,647638,157988,41030,653926,82151,82152,24042,40488,15798,94904,60767,,,,,,,,,,,x
V6O13,O,26,V,12,orthorhombic,69,0,62117,,,,,,,,,,,,,,,,,,,,,,x
VO2,O,8,V,4,monoclinic,12,0.5916,73856,199,73855,,,,,,,,,,,,,,,,,,,,x
V2O5,O,20,V,8,orthorhombic,62,2.3329,80594,,,,,,,,,,,,,,,,,,,,,,x
V6O13,O,13,V,6,monoclinic,12,0.5151,40489,30578,16779,15028,50409,,,,,,,,,,,,,,,,,,x
V7O3,O,3,V,7,monoclinic,12,0.1443,77706,200243,163494,,,,,,,,,,,,,,,,,,,,x
VO2,O,4,V,2,orthorhombic,58,0.8619,38054,89471,,,,,,,,,,,,,,,,,,,,,x
V16O3,O,6,V,32,tetragonal,139,0.0396,77707,,,,,,,,,,,,,,,,,,,,,,x
V2O3,O,6,V,4,monoclinic,15,0.5626,655262,95762,95763,97442,6286,,,,,,,,,,,,,,,,,,x
V3O5,O,10,V,6,monoclinic,15,0.0016,15899,32587,653661,195,,,,,,,,,,,,,,,,,,,x
VO2,O,8,V,4,tetragonal,136,0.8765,1504,56003,74705,66665,4110,34416,34417,34418,34419,34420,34421,27482,10141,24926,89471,,,,,,,,x
V8O15,O,30,V,16,triclinic,2,0.5661,98711,,,,,,,,,,,,,,,,,,,,,,x
V2O5,O,10,V,4,monoclinic,15,1.396,156052,156053,156054,,,,,,,,,,,,,,,,,,,,x
VO2,O,8,V,4,orthorhombic,62,1.3755,22303,,,,,,,,,,,,,,,,,,,,,,x
V2O3,O,24,V,16,cubic,206,0,260212,,,,,,,,,,,,,,,,,,,,,,x
V3O5,O,20,V,12,monoclinic,13,0.9893,16445,,,,,,,,,,,,,,,,,,,,,,x
V3O7,O,42,V,18,monoclinic,15,0.996,2338,,,,,,,,,,,,,,,,,,,,,,x
V5O9,O,36,V,20,triclinic,2,0.5186,66584,6097,9037,,,,,,,,,,,,,,,,,,,,x
V6O11,O,22,V,12,triclinic,2,0.7399,196,,,,,,,,,,,,,,,,,,,,,,x
V4O7,O,14,V,8,triclinic,2,0.581,2211,19012,19013,653554,2775,2212,,,,,,,,,,,,,,,,,x
V10O9,O,9,V,10,triclinic,2,1.1358,,,,,,,,,,,,,,,,,,,,,,,x
V25O32,O,32,V,25,monoclinic,5,0.2366,,,,,,,,,,,,,,,,,,,,,,,x
V13O16,O,32,V,26,tetragonal,141,0.0113,77708,,,,,,,,,,,,,,,,,,,,,,x
V4O7,O,14,V,8,triclinic,2,0.7509,,,,,,,,,,,,,,,,,,,,,,,x
V7O13,O,26,V,14,triclinic,1,0.5998,,,,,,,,,,,,,,,,,,,,,,,x
V2O3,O,6,V,4,monoclinic,9,0,33641,,,,,,,,,,,,,,,,,,,,,,x
V7O13,O,26,V,14,triclinic,2,0.5028,,,,,,,,,,,,,,,,,,,,,,,x
VO2,O,8,V,4,triclinic,2,1.2524,,,,,,,,,,,,,,,,,,,,,,,x
VO2,O,8,V,4,monoclinic,10,1.1027,1503,,,,,,,,,,,,,,,,,,,,,,x
V9O17,O,34,V,18,triclinic,2,0.0154,98712,,,,,,,,,,,,,,,,,,,,,,x
V2O5,O,15,V,6,monoclinic,12,1.6586,,,,,,,,,,,,,,,,,,,,,,,x
V2O5,O,20,V,8,orthorhombic,63,2.4243,,,,,,,,,,,,,,,,,,,,,,,x
VO2,O,2,V,1,trigonal,166,0.3971,,,,,,,,,,,,,,,,,,,,,,,x
VO2,O,8,V,4,cubic,227,1.2438,,,,,,,,,,,,,,,,,,,,,,,x
V2O5,O,20,V,8,orthorhombic,62,2.3728,,,,,,,,,,,,,,,,,,,,,,,x
V5O9,O,36,V,20,triclinic,2,0.002,69882,,,,,,,,,,,,,,,,,,,,,,x
V4O9,O,36,V,16,orthorhombic,63,0.8147,174441,,,,,,,,,,,,,,,,,,,,,,x
V2O5,O,10,V,4,orthorhombic,59,1.4027,43132,,,,,,,,,,,,,,,,,,,,,,x
VO2,O,8,V,4,tetragonal,88,1.0869,,,,,,,,,,,,,,,,,,,,,,,x
VO2,O,8,V,4,triclinic,2,1.2022,1501,,,,,,,,,,,,,,,,,,,,,,x
VO,O,2,V,2,trigonal,166,0.7832,28681,,,,,,,,,,,,,,,,,,,,,,x
V5O9,O,18,V,10,triclinic,1,0.757,,,,,,,,,,,,,,,,,,,,,,,x
V4O7,O,14,V,8,triclinic,2,1.0035,,,,,,,,,,,,,,,,,,,,,,,x
V9O17,O,34,V,18,triclinic,1,0.56,98712,,,,,,,,,,,,,,,,,,,,,,x
VO2,O,4,V,2,monoclinic,12,1.0677,,,,,,,,,,,,,,,,,,,,,,,x
VO2,O,8,V,4,tetragonal,141,0.3733,,,,,,,,,,,,,,,,,,,,,,,x
V3O5,O,20,V,12,monoclinic,9,1.0234,32587,195,,,,,,,,,,,,,,,,,,,,,x
VO2,O,32,V,16,orthorhombic,28,0.7988,51213,,,,,,,,,,,,,,,,,,,,,,x
VO2,O,32,V,16,triclinic,1,0.9538,,,,,,,,,,,,,,,,,,,,,,,x
V2O5,O,10,V,4,orthorhombic,43,2.7539,,,,,,,,,,,,,,,,,,,,,,,x
V2O5,O,10,V,4,orthorhombic,59,2.4105,,,,,,,,,,,,,,,,,,,,,,,x
V5O12,O,12,V,5,monoclinic,5,1.3306,,,,,,,,,,,,,,,,,,,,,,,x
V2O5,O,20,V,8,orthorhombic,62,2.5161,,,,,,,,,,,,,,,,,,,,,,,x
VO2,O,8,V,4,orthorhombic,74,0.8155,,,,,,,,,,,,,,,,,,,,,,,x
V3O7,O,21,V,9,tetragonal,139,0,,,,,,,,,,,,,,,,,,,,,,,x
V3O7,O,42,V,18,trigonal,159,1.1608,,,,,,,,,,,,,,,,,,,,,,,x
VO2,O,6,V,3,monoclinic,12,0.2395,,,,,,,,,,,,,,,,,,,,,,,x
V5O12,O,12,V,5,monoclinic,5,1.0074,,,,,,,,,,,,,,,,,,,,,,,x
VO2,O,8,V,4,orthorhombic,62,1.3787,,,,,,,,,,,,,,,,,,,,,,,x
VO2,O,8,V,4,orthorhombic,63,0.8553,,,,,,,,,,,,,,,,,,,,,,,x
V12O29,O,29,V,12,monoclinic,12,0.5361,,,,,,,,,,,,,,,,,,,,,,,x
V2O3,O,9,V,6,monoclinic,12,1.4363,,,,,,,,,,,,,,,,,,,,,,,x
V2O3,O,12,V,8,monoclinic,14,1.2369,,,,,,,,,,,,,,,,,,,,,,,x
V2O5,O,20,V,8,monoclinic,14,2.08,,,,,,,,,,,,,,,,,,,,,,,x
V5O12,O,48,V,20,monoclinic,14,1.0818,,,,,,,,,,,,,,,,,,,,,,,x
V2O3,O,18,V,12,monoclinic,11,0.9128,,,,,,,,,,,,,,,,,,,,,,,x
V5O12,O,12,V,5,triclinic,1,1.1948,,,,,,,,,,,,,,,,,,,,,,,x
V2O5,O,20,V,8,orthorhombic,62,1.7958,,,,,,,,,,,,,,,,,,,,,,,x
V9O22,O,44,V,18,triclinic,1,0.9039,,,,,,,,,,,,,,,,,,,,,,,x
V2O3,O,24,V,16,orthorhombic,61,0.6212,,,,,,,,,,,,,,,,,,,,,,,x
V6O11,O,22,V,12,orthorhombic,63,0.4496,,,,,,,,,,,,,,,,,,,,,,,x
V9O22,O,44,V,18,monoclinic,11,0.0281,,,,,,,,,,,,,,,,,,,,,,,x
V2O5,O,70,V,28,monoclinic,13,2.3263,,,,,,,,,,,,,,,,,,,,,,,x
VO2,O,10,V,5,triclinic,2,0.5491,,,,,,,,,,,,,,,,,,,,,,,x
V4O9,O,36,V,16,orthorhombic,62,0.4051,15041,,,,,,,,,,,,,,,,,,,,,,x
VO2,O,8,V,4,monoclinic,10,0.3536,1503,,,,,,,,,,,,,,,,,,,,,,x
V6O13,O,26,V,12,monoclinic,8,0,16779,,,,,,,,,,,,,,,,,,,,,,x
V8O,O,2,V,16,tetragonal,136,0,166600,,,,,,,,,,,,,,,,,,,,,,x
VO2,O,32,V,16,tetragonal,139,0.1772,51213,51214,,,,,,,,,,,,,,,,,,,,,x
V2O3,O,6,V,4,trigonal,167,0,33641,,,,,,,,,,,,,,,,,,,,,,x
V6O13,O,26,V,12,orthorhombic,63,0,62117,,,,,,,,,,,,,,,,,,,,,,x
V6O13,O,26,V,12,monoclinic,11,0,,,,,,,,,,,,,,,,,,,,,,,x
VO2,O,8,V,4,triclinic,1,0.7758,22303,,,,,,,,,,,,,,,,,,,,,,x
V4O7,O,14,V,8,triclinic,2,0.3683,,,,,,,,,,,,,,,,,,,,,,,x
LaVO4,La,4,O,16,V,4,monoclinic,14,3.5131,400,155240,8294,,,,,,,,,,,,,,,,,,x
LaVO3,La,4,O,12,V,4,orthorhombic,62,0.998,63520,73898,73899,73900,73901,86554,86557,,,,,,,,,,,,,,x
LaVO4,La,2,O,8,V,2,tetragonal,141,3.1222,411083,,,,,,,,,,,,,,,,,,,,x
LaV3O9,La,2,O,18,V,6,monoclinic,11,2.57,411084,,,,,,,,,,,,,,,,,,,,x
LaVO3,La,1,O,3,V,1,cubic,221,0.0206,28925,,,,,,,,,,,,,,,,,,,,x
La11V4O26,La,11,O,26,V,4,triclinic,2,1.0185,80519,,,,,,,,,,,,,,,,,,,,x
TiVO4,Ti,1,O,4,V,1,orthorhombic,65,0.99,,,,,,,,,,,,,,,,,,,,,x
Ti3V2O9,Ti,6,O,18,V,4,monoclinic,15,0.7783,108830,,,,,,,,,,,,,,,,,,,,x
TiV3O8,Ti,1,O,8,V,3,monoclinic,8,0.4221,,,,,,,,,,,,,,,,,,,,,x
TiVO4,Ti,2,O,8,V,2,tetragonal,109,1.1814,,,,,,,,,,,,,,,,,,,,,x
TiVO3,Ti,2,O,6,V,2,trigonal,148,0.6253,,,,,,,,,,,,,,,,,,,,,x
TiVO4,Ti,1,O,4,V,1,tetragonal,119,0,,,,,,,,,,,,,,,,,,,,,x
Ti3VO8,Ti,6,O,16,V,2,hexagonal,186,1.5775,,,,,,,,,,,,,,,,,,,,,x
TiV2O7,Ti,4,O,28,V,8,cubic,205,2.0311,,,,,,,,,,,,,,,,,,,,,x
TiV15O24,Ti,1,O,24,V,15,triclinic,1,0.3397,,,,,,,,,,,,,,,,,,,,,x
TiVO3,Ti,4,O,12,V,4,triclinic,1,0,,,,,,,,,,,,,,,,,,,,,x
Ti4VO8,Ti,4,O,8,V,1,monoclinic,12,0,,,,,,,,,,,,,,,,,,,,,x
Ti3V5O16,Ti,3,O,16,V,5,monoclinic,8,1.1384,,,,,,,,,,,,,,,,,,,,,x
Ti15VO24,Ti,15,O,24,V,1,triclinic,1,0,,,,,,,,,,,,,,,,,,,,,x
VO,O,1,V,1,cubic,225,1.1025,60486,28681,647627,647635,647633,647603,77705,647609,647611,61631,,,,,,,,,,,,,x
V2O5,O,10,V,4,monoclinic,11,1.6982,59960,59961,156051,,,,,,,,,,,,,,,,,,,,x
V2O3,O,6,V,4,trigonal,167,0.4761,1872,95760,97442,1473,64796,64786,1869,1870,1871,94768,95761,201106,201107,201108,201109,1873,25780,1874,655262,,,,x
V2O5,O,10,V,4,orthorhombic,59,2.1562,99808,647638,157988,41030,653926,82151,82152,24042,40488,15798,94904,60767,,,,,,,,,,,x
V6O13,O,26,V,12,orthorhombic,69,0,62117,,,,,,,,,,,,,,,,,,,,,,x
